Designator,Mid X,Mid Y,Rotation,Layer
C1,49.149,-7.48,90.0,top
C10,14.732,-19.812,180.0,top
C11,14.732,-21.463,180.0,top
C12,18.034,-23.241,90.0,top
C13,66.04,-4.572,0.0,top
C14,74.549,-15.494,180.0,top
C15,62.611,-8.001,0.0,top
C16,63.373,-11.303,270.0,top
C17,61.849,-11.303,270.0,top
C18,79.248,-9.906,90.0,top
C19,13.856,-35.179,0.0,top
C2,49.149,-10.528,270.0,top
C20,24.016,-35.179,0.0,top
C21,34.176,-35.179,0.0,top
C22,44.336,-35.179,0.0,top
C23,54.496,-35.179,0.0,top
C24,82.423,-27.178,90.0,top
C25,74.549,-6.096,180.0,top
C3,60.325,-4.318,90.0,top
C4,62.23,-4.318,90.0,top
C5,80.01,-20.828,90.0,top
C6,78.486,-20.828,90.0,top
C7,21.59,-10.414,90.0,top
C8,28.321,-5.461,90.0,top
C9,42.164,-5.461,270.0,top
D1,69.914,-2.54,180.0,top
D2,29.718,-11.303,270.0,top
D3,13.843,-7.112,90.0,top
D4,21.336,-31.242,270.0,top
F1,13.843,-12.319,90.0,top
FB1,45.72,-11.049,0.0,top
J1,-0.508,-25.7225,270.0,top
J11,43.18,-27.432,90.0,top
J13,51.562,-27.432,90.0,top
J3,12.319,-43.053,0.0,top
J4,22.479,-43.053,0.0,top
J5,32.639,-43.053,0.0,top
J6,42.799,-43.053,0.0,top
J7,52.959,-43.053,0.0,top
J8,3.556,-14.4195,0.0,top
L1,34.671,-10.287,0.0,top
Q1,46.863,-16.51,180.0,top
Q2,100.711,-25.781,180.0,top
Q3,130.81,-25.781,180.0,top
R1,43.942,-16.51,90.0,top
R10,21.336,-28.194,90.0,top
R11,97.028,-24.892,0.0,top
R12,127.127,-24.892,0.0,top
R13,93.726,-21.971,0.0,top
R14,93.726,-29.591,0.0,top
R15,5.461,-28.321,270.0,top
R16,5.461,-23.622,90.0,top
R17,26.924,0.127,0.0,top
R18,104.013,-24.892,90.0,top
R19,133.985,-24.892,90.0,top
R2,79.248,-12.954,90.0,top
R3,79.248,-16.002,90.0,top
R4,10.808,-35.179,0.0,top
R5,20.968,-35.179,0.0,top
R6,31.128,-35.179,0.0,top
R7,41.288,-35.179,0.0,top
R8,51.448,-35.179,0.0,top
R9,66.802,-2.54,0.0,top
SW1,85.598,-9.0605,90.0,top
SW2,85.598,-17.3155,90.0,top
U1,69.596,-10.795,270.0,top
U2,54.991,-7.366,180.0,top
U3,13.97,-25.527,270.0,top
U4,68.0595,-31.369,0.0,top
U5,8.255,-24.13,270.0,top
U6,32.131,-3.683,0.0,top
